CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hx342288,07/12/2014 03:58:00 PM,street,False,2432,24.0,40.0,1.0,41.998140264,-87.665114952
hx343821,07/13/2014 07:25:00 PM,street,False,1021,10.0,24.0,29.0,41.860885946,-87.708626482
hx350571,07/18/2014 06:32:00 PM,street,False,931,9.0,16.0,61.0,41.804838079,-87.667303411
hx350804,07/19/2014 07:33:00 AM,apartment,False,1132,11.0,24.0,26.0,41.876200229,-87.723686253
hx352495,07/20/2014 05:40:00 AM,street,False,423,4.0,10.0,46.0,41.738330132,-87.556312434
hx355082,07/22/2014 10:16:00 AM,street,False,823,8.0,15.0,66.0,41.779983133,-87.695854073
hx360472,07/25/2014 10:09:00 PM,sidewalk,False,922,9.0,14.0,58.0,41.812716526,-87.699241866
hx361872,07/26/2014 11:17:00 PM,sidewalk,False,1211,12.0,1.0,24.0,41.899319307,-87.693210297
hx362083,07/27/2014 03:25:00 AM,sidewalk,True,1832,18.0,42.0,8.0,41.894821547,-87.632133928
hx363080,07/27/2014 08:58:00 PM,sidewalk,False,331,3.0,5.0,43.0,41.768034001,-87.570998053
hx367129,07/30/2014 06:44:00 PM,street,False,2232,22.0,34.0,73.0,41.709619552,-87.640478822
hx368916,08/01/2014 01:25:00 AM,residential_yard__front_back_,False,2424,24.0,49.0,1.0,42.014625246,-87.680489655
hx368965,08/01/2014 03:40:00 AM,street,False,331,3.0,5.0,43.0,41.772483306,-87.574021091
hx370498,08/02/2014 12:18:00 AM,street,False,1034,10.0,12.0,30.0,41.848289173,-87.693557792
hx371889,08/03/2014 04:15:00 AM,parking_lot,False,1823,18.0,27.0,8.0,41.89846405,-87.637243822
hx372443,08/03/2014 02:45:00 PM,sidewalk,False,423,4.0,7.0,46.0,41.738434204,-87.561165977
hx380483,08/09/2014 01:04:00 PM,sidewalk,False,1234,12.0,25.0,31.0,41.856479533,-87.671066299
hx381196,08/09/2014 09:33:00 PM,street,False,214,2.0,4.0,38.0,41.8176029,-87.612932165
hx382008,08/10/2014 03:30:00 PM,sidewalk,False,532,5.0,9.0,53.0,41.67012293,-87.620259389
hx382970,08/11/2014 11:46:00 AM,residence,False,1431,14.0,1.0,22.0,41.925249888,-87.693763257
hx383118,08/11/2014 01:50:00 PM,park_property,False,324,3.0,8.0,43.0,41.761609912,-87.583554505
hx383582,08/11/2014 07:49:00 PM,street,False,733,7.0,17.0,68.0,41.764190758,-87.645599166
hx386494,08/13/2014 09:12:00 PM,residence_porch_hallway,False,632,6.0,8.0,44.0,41.737884059,-87.601216082
hx389533,08/16/2014 03:00:00 AM,sidewalk,False,1215,12.0,26.0,24.0,41.890974305,-87.667669094
hx394073,08/19/2014 03:30:00 PM,street,False,735,7.0,17.0,67.0,41.760405478,-87.66734157
